"Year"	"BorX"	"BorY"	"Species"	"Cover"
"2015"	0	640	"lylu"	3
"2015"	0	640	"arnu"	1
"2015"	0	640	"stro"	1
"2015"	0	640	"trer"	1
"2015"	0	640	"vial"	6
"2015"	0	640	"violasp"	1
"2015"	0	660	"drsp"	3
"2015"	0	660	"clbo"	1
"2015"	0	660	"maca"	1
"2015"	0	660	"lylu"	2
"2015"	0	660	"stro"	1
"2015"	0	660	"trer"	1
"2015"	0	660	"vial"	5
"2015"	0	660	"violasp"	1
"2015"	0	660	"grass"	1
"2015"	80	220	"mara"	1
"2015"	0	660	"soam"	1
"2015"	0	680	"stro"	1
"2015"	0	680	"lylu"	1
"2015"	0	680	"arnu"	1
"2015"	0	680	"oxmo"	1
"2015"	0	680	"vial"	6
"2015"	0	680	"drsp"	4
"2015"	0	680	"asac"	1
"2015"	0	680	"clbo"	1
"2015"	0	700	"vial"	4
"2015"	0	700	"stro"	1
"2015"	0	700	"lylu"	2
"2015"	0	700	"clbo"	2
"2015"	0	700	"maca"	1
"2015"	0	700	"drsp"	5
"2015"	0	700	"soam"	1
"2015"	0	700	"oxmo"	1
"2015"	0	720	"drsp"	3
"2015"	0	720	"lylu"	2
"2015"	0	720	"stro"	1
"2015"	0	720	"drno"	1
"2015"	0	720	"vial"	3
"2015"	0	720	"oxmo"	1
"2015"	0	720	"clbo"	1
"2015"	0	720	"soam"	1
"2015"	0	740	"drsp"	4
"2015"	0	740	"clbo"	2
"2015"	0	740	"vial"	3
"2015"	0	740	"trer"	1
"2015"	0	740	"vevi"	1
"2015"	0	740	"prtr"	1
"2015"	0	760	"drsp"	3
"2015"	0	760	"stro"	2
"2015"	0	760	"lylu"	4
"2015"	0	760	"clbo"	1
"2015"	0	760	"oxmo"	1
"2015"	0	760	"maca"	1
"2015"	0	760	"trer"	1
"2015"	0	760	"vial"	3
"2015"	0	780	"vial"	6
"2015"	0	780	"lylu"	4
"2015"	0	780	"clbo"	1
"2015"	0	780	"drsp"	2
"2015"	0	780	"trun"	1
"2015"	0	780	"oxmo"	1
"2015"	0	780	"maca"	1
"2015"	0	800	"vial"	4
"2015"	0	800	"maca"	3
"2015"	0	800	"clbo"	2
"2015"	0	800	"drsp"	4
"2015"	0	800	"soam"	1
"2015"	0	800	"oxmo"	2
"2015"	0	800	"lylu"	3
"2015"	0	800	"trun"	1
"2015"	0	820	"vial"	4
"2015"	0	820	"drsp"	4
"2015"	0	820	"clbo"	4
"2015"	0	820	"stro"	1
"2015"	0	820	"lylu"	4
"2015"	0	820	"soam"	2
"2015"	0	820	"oxmo"	1
"2015"	0	820	"maca"	1
"2015"	0	840	"vial"	4
"2015"	0	840	"clbo"	2
"2015"	0	840	"drsp"	6
